embedding_model,model_type,model_name,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_6,mean_roc_auc,std_roc_auc
gte-base,outlier,COPOD,1.0,0.9032258064516129,1.0,1.0,0.967741935483871,1.0,0.978494623655914,0.039066456181903124
gte-base,outlier,LOF,1.0,0.8387096774193549,1.0,1.0,0.935483870967742,1.0,0.9623655913978495,0.06584649846191337
gte-base,outlier,OCSVM,1.0,0.8387096774193549,0.967741935483871,1.0,0.967741935483871,1.0,0.9623655913978495,0.06260613603445003
gte-base,outlier,IForest,1.0,0.7096774193548387,1.0,1.0,0.935483870967742,1.0,0.9408602150537635,0.11615889699618405
gte-base,outlier,DIF,1.0,0.935483870967742,1.0,1.0,0.935483870967742,1.0,0.978494623655914,0.03331598577382722
gte-base,outlier,INNE,1.0,0.8709677419354839,1.0,1.0,0.967741935483871,1.0,0.9731182795698925,0.05168006383095878
gte-base,outlier,AutoEncoder,0.5806451612903225,0.32258064516129037,1.0,0.22580645161290325,0.5483870967741935,0.5666666666666667,0.5406810035842294,0.2683354105409841
gte-base,classifier,Nearest Neighbors,0.967741935483871,0.9838709677419354,0.5483870967741935,0.9516129032258064,0.7580645161290323,0.6333333333333333,0.8071684587813621,0.1883982255595722
gte-base,classifier,Random Forest,0.41935483870967744,0.8225806451612903,0.4516129032258065,0.5161290322580645,0.903225806451613,0.35000000000000003,0.5771505376344087,0.22914676071588577
gte-base,classifier,AdaBoost,0.8387096774193549,1.0,0.8709677419354839,0.7741935483870968,0.8064516129032258,0.19999999999999996,0.7483870967741937,0.27973526953133937
gte-base,classifier,Logistic Regression,0.8709677419354839,1.0,0.967741935483871,0.8064516129032258,0.9032258064516129,0.7666666666666666,0.8858422939068101,0.09029804240840185
gte-base,classifier,Neural Network,0.935483870967742,0.967741935483871,0.967741935483871,0.8064516129032258,0.935483870967742,0.9333333333333333,0.9243727598566309,0.05999062117574323
gte-large,outlier,COPOD,1.0,0.6451612903225806,1.0,1.0,0.4516129032258065,0.9666666666666667,0.8439068100358423,0.23730129590289048
gte-large,outlier,LOF,0.9032258064516129,0.4516129032258065,0.8387096774193549,0.967741935483871,0.4838709677419355,0.9666666666666667,0.7686379928315413,0.23810872399578903
gte-large,outlier,OCSVM,0.967741935483871,0.6451612903225806,1.0,1.0,0.4516129032258065,0.9666666666666667,0.8385304659498208,0.23339072349736206
gte-large,outlier,IForest,0.8709677419354839,0.5161290322580645,0.967741935483871,1.0,0.5161290322580645,1.0,0.8118279569892474,0.23388023711701064
gte-large,outlier,DIF,0.9032258064516129,0.32258064516129037,1.0,1.0,0.9032258064516129,1.0,0.8548387096774194,0.26502704395411264
gte-large,outlier,INNE,0.967741935483871,0.5161290322580645,0.967741935483871,0.967741935483871,0.4516129032258065,1.0,0.8118279569892474,0.25515836764091543
gte-large,outlier,AutoEncoder,0.935483870967742,0.32258064516129037,1.0,1.0,0.7096774193548387,0.9666666666666667,0.8224014336917563,0.2680336249915357
gte-large,classifier,Nearest Neighbors,0.8548387096774194,0.8064516129032259,0.4032258064516129,0.9032258064516129,0.3709677419354839,0.9166666666666667,0.7092293906810037,0.2527363067095401
gte-large,classifier,Random Forest,0.5161290322580645,1.0,0.41935483870967744,0.564516129032258,0.9354838709677419,0.23333333333333334,0.6114695340501792,0.29904203366162635
gte-large,classifier,AdaBoost,1.0,1.0,0.967741935483871,0.7741935483870968,1.0,0.8666666666666667,0.9347670250896059,0.09410086928414017
gte-large,classifier,Logistic Regression,0.935483870967742,1.0,0.9032258064516129,0.9032258064516129,1.0,0.9666666666666667,0.9514336917562725,0.044388767299286154
gte-large,classifier,Neural Network,0.967741935483871,1.0,0.967741935483871,0.935483870967742,1.0,0.9666666666666667,0.9729390681003585,0.02433451564099573
Granite-30m,outlier,COPOD,0.967741935483871,0.6129032258064516,0.967741935483871,1.0,0.5161290322580645,1.0,0.8440860215053764,0.2191808291466614
Granite-30m,outlier,LOF,0.8709677419354839,0.3548387096774194,0.935483870967742,0.9032258064516129,0.3548387096774194,1.0,0.7365591397849464,0.29874288581982494
Granite-30m,outlier,OCSVM,1.0,0.6451612903225806,0.935483870967742,1.0,0.4516129032258065,1.0,0.8387096774193549,0.2343987370914187
Granite-30m,outlier,IForest,0.7741935483870968,0.6451612903225806,0.967741935483871,1.0,0.5806451612903225,0.9666666666666667,0.8224014336917563,0.1820229290686983
Granite-30m,outlier,DIF,0.935483870967742,0.5483870967741935,0.7741935483870968,0.9032258064516129,0.7419354838709677,0.9666666666666667,0.8116487455197133,0.15704876860551054
Granite-30m,outlier,INNE,0.8709677419354839,0.3870967741935484,0.967741935483871,1.0,0.29032258064516125,1.0,0.7526881720430106,0.3255774772950635
Granite-30m,outlier,AutoEncoder,0.7419354838709677,0.4193548387096774,1.0,0.8709677419354839,0.5483870967741935,1.0,0.7634408602150536,0.2402449900003259
Granite-30m,classifier,Nearest Neighbors,0.7903225806451613,0.3064516129032258,0.4032258064516129,0.8548387096774194,0.8870967741935484,0.43333333333333335,0.6125448028673836,0.2589649762124028
Granite-30m,classifier,Random Forest,0.40322580645161293,0.22580645161290325,0.25806451612903225,0.2096774193548387,0.967741935483871,0.16666666666666669,0.3718637992831541,0.3029018452960679
Granite-30m,classifier,AdaBoost,0.9032258064516129,0.7096774193548387,0.8709677419354839,0.5483870967741935,0.8387096774193549,0.23333333333333328,0.6840501792114696,0.25655509885745625
Granite-30m,classifier,Logistic Regression,0.967741935483871,0.9032258064516129,1.0,0.8387096774193549,1.0,0.8,0.9182795698924732,0.08526549506064089
Granite-30m,classifier,Neural Network,0.967741935483871,0.967741935483871,1.0,0.8709677419354839,1.0,0.8333333333333334,0.9399641577060932,0.07054424525363645
Granite-125m,outlier,COPOD,0.967741935483871,0.6451612903225806,1.0,1.0,0.7096774193548387,1.0,0.8870967741935484,0.1641678793548319
Granite-125m,outlier,LOF,0.8387096774193549,0.4516129032258065,0.9032258064516129,0.9032258064516129,0.4193548387096774,0.9,0.7360215053763443,0.2343136337167405
Granite-125m,outlier,OCSVM,0.9032258064516129,0.8064516129032258,0.967741935483871,1.0,0.7096774193548387,0.9666666666666667,0.8922939068100358,0.11283749580094023
Granite-125m,outlier,IForest,0.8387096774193549,0.8709677419354839,0.935483870967742,1.0,0.8064516129032258,1.0,0.9086021505376345,0.08266292943562398
Granite-125m,outlier,DIF,0.967741935483871,0.3870967741935484,1.0,0.8709677419354839,0.6129032258064516,0.9333333333333333,0.7953405017921148,0.24344016363237347
